year,month,state,num_visits,num_unique_visitors
2020,1,ALL_STATES,1191216906,47959690
2020,1,ak,1449096,80249
2020,1,al,25858594,1068273
2020,1,ar,13352720,650685
2020,1,as,349,102
2020,1,az,25126662,1190181
2020,1,bc,115,78
2020,1,ca,114779479,5052878
2020,1,co,19963432,1016753
2020,1,ct,9914386,614305
2020,1,dc,3148597,448754
2020,1,de,2957887,220319
2020,1,fl,102865815,4373508
2020,1,ga,47766154,2155359
2020,1,gu,94214,9346
2020,1,hi,5876512,234446
2020,1,ia,12118326,688519
2020,1,id,4935363,276896
2020,1,il,45325319,2430321
2020,1,in,24909095,1348671
2020,1,ks,11581907,621812
2020,1,ky,16371389,902415
2020,1,la,20595694,979268
2020,1,ma,17697044,1094553
2020,1,md,18311750,1077394
2020,1,me,2668041,157308
2020,1,mi,31741821,1611148
2020,1,mn,17455663,961990
2020,1,mo,25617271,1318862
2020,1,mp,248,38
2020,1,ms,13414815,660525
2020,1,mt,2617310,145305
2020,1,nb,9,7
2020,1,nc,40049914,1934682
2020,1,nd,2595478,162855
2020,1,ne,7758895,423526
2020,1,nh,3845043,266510
2020,1,nj,29697213,1656455
2020,1,nm,5382854,407325
2020,1,nv,13804167,781337
2020,1,ny,59613079,3591281
2020,1,oh,42888638,2111237
2020,1,ok,18351337,864733
2020,1,or,12284378,646378
2020,1,pa,38457508,2285768
2020,1,pr,3528307,377233
2020,1,qc,94,41
2020,1,ri,2864040,203492
2020,1,sc,20945095,1045690
2020,1,sd,2660204,158145
2020,1,tn,29598585,1496485
2020,1,tx,134445118,5339233
2020,1,ut,9381569,518255
2020,1,va,28611157,1531968
2020,1,vi,10899,2126
2020,1,vt,1253415,105034
2020,1,wa,20427674,1064600
2020,1,wi,17302458,976110
2020,1,wv,5406627,354803
2020,1,wy,1538083,119488
year,month,state,num_visits,num_unique_visitors
2020,4,ALL_STATES,484790060,27833262
2020,4,ak,679120,45988
2020,4,al,13400933,677859
2020,4,ap,134,48
2020,4,ar,7485221,416993
2020,4,as,73,29
2020,4,az,10813209,610300
2020,4,ca,42442055,2591733
2020,4,co,7182332,500672
2020,4,ct,3447143,284134
2020,4,dc,843300,143428
2020,4,de,1195363,96985
2020,4,fl,37228870,2147601
2020,4,ga,21417041,1151037
2020,4,gu,4493,813
2020,4,hi,2103010,92866
2020,4,ia,6054528,412871
2020,4,id,2388217,170438
2020,4,il,17855361,1289760
2020,4,in,10654596,799298
2020,4,ks,5347741,365611
2020,4,ky,7768900,538490
2020,4,la,9376556,531231
2020,4,ma,5531546,487492
2020,4,md,6703142,507485
2020,4,me,1135060,82420
2020,4,mi,10545682,841277
2020,4,mn,7073582,537295
2020,4,mo,12175232,794032
2020,4,mp,1,1
2020,4,ms,7011223,396287
2020,4,mt,1231072,86735
2020,4,nc,18107379,1001310
2020,4,nd,1147576,87446
2020,4,ne,3915817,261570
2020,4,nh,1476263,127593
2020,4,nj,9305448,774013
2020,4,nm,2326141,211145
2020,4,nv,4477419,295599
2020,4,ny,18918897,1622423
2020,4,oh,17874527,1228384
2020,4,ok,9408010,529188
2020,4,or,5412404,349131
2020,4,pa,14161808,1159907
2020,4,pr,568098,110025
2020,4,ri,1002523,90852
2020,4,sc,10458126,591736
2020,4,sd,1310685,96769
2020,4,tn,13993894,822312
2020,4,tx,56160025,3018073
2020,4,ut,4679103,299100
2020,4,va,11801371,801380
2020,4,vi,1963,595
2020,4,vt,399179,36890
2020,4,wa,8340588,543816
2020,4,wi,7172013,559208
2020,4,wv,2473856,196509
2020,4,wy,802211,76475
year,month,state,num_visits,num_unique_visitors
2020,2,ALL_STATES,1044548923,46843490
2020,2,ab,95,25
2020,2,ak,1185654,82074
2020,2,al,24366379,1066268
2020,2,ar,12366132,622915
2020,2,as,125,81
2020,2,az,22037030,1191379
2020,2,bc,336,160
2020,2,ca,101321919,4796710
2020,2,co,16404318,985284
2020,2,ct,8458050,584951
2020,2,dc,2922057,510788
2020,2,de,2676777,234841
2020,2,fl,88893534,4362084
2020,2,ga,42488596,2020414
2020,2,gu,32613,6503
2020,2,hi,4901104,213727
2020,2,ia,11170710,671150
2020,2,id,4194342,273713
2020,2,il,39618505,2308206
2020,2,in,21573122,1283745
2020,2,ks,10580167,603431
2020,2,ky,14477703,855163
2020,2,la,18870276,957309
2020,2,ma,14839453,1062710
2020,2,md,15989306,1030751
2020,2,me,2311113,161373
2020,2,mi,27562481,1630707
2020,2,mn,15457246,987386
2020,2,mo,23498703,1296708
2020,2,mp,21,12
2020,2,ms,12706022,644257
2020,2,mt,2209833,157868
2020,2,nb,13,10
2020,2,nc,34749154,1858828
2020,2,nd,2293240,153158
2020,2,ne,7172291,421348
2020,2,nh,3185108,248231
2020,2,nj,25943382,1585635
2020,2,nm,4550927,380447
2020,2,ns,40,19
2020,2,nv,11928194,757366
2020,2,ny,51071504,3400549
2020,2,oh,37088359,2091085
2020,2,ok,16385286,830490
2020,2,on,48,31
2020,2,or,10189407,587993
2020,2,pa,33884058,2248324
2020,2,pr,2200716,280776
2020,2,qc,183,64
2020,2,ri,2488925,211582
2020,2,sc,18894957,1016598
2020,2,sd,2399105,162320
2020,2,tn,26501782,1442406
2020,2,tx,117160722,5131961
2020,2,ut,8412829,521825
2020,2,va,24966885,1446830
2020,2,vi,5573,1499
2020,2,vt,1099562,107713
2020,2,wa,17452160,1045106
2020,2,wi,15256610,945212
2020,2,wv,4818721,350774
2020,2,wy,1335460,114326
year,month,state,num_visits,num_unique_visitors
2020,3,ALL_STATES,789737092,39546806
2020,3,ab,183,69
2020,3,ak,885353,59464
2020,3,al,20014565,958901
2020,3,ar,10096256,553265
2020,3,as,396,131
2020,3,az,16998571,954689
2020,3,bc,393,172
2020,3,ca,73003136,4035365
2020,3,co,12399493,807404
2020,3,ct,5892683,437213
2020,3,dc,1769380,292210
2020,3,de,1994600,161656
2020,3,fl,67552763,3452424
